,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
940,Victor Lindelöf,1.5,11,2.8,2.5,18.6,6,4.0,1,1
941,Virgil van Dijk,7.5,27,1.8,1.5,9.0,5,4.0,7,0
946,Wes Morgan,0.8,3,0.0,0.0,0.2,4,0.0,1,1
949,William Saliba,0.5,0,0.0,0.0,0.0,19,0.0,0,1
952,Willy Boly,2.5,10,0.3,2.3,18.8,12,4.0,1,1
955,Yan Valery,-0.5,0,0.0,0.0,0.0,17,0.0,0,1
956,Yerry Mina,4.0,17,1.5,2.9,25.2,18,2.0,1,1
961,Zeze Steven Sessegnon,0.0,0,0.0,0.0,0.0,10,0.0,0,0
962,Çaglar Söyüncü,4.0,17,20.9,8.9,32.4,4,36.0,1,1
965,Aaron Cresswell,3.0,32,52.5,8.8,35.8,20,0.0,7,1
